0,1
movie,31136
song,26269
new,24167
telugu,23879
video,22537
full,16872
subscribe,14840
music,14484
facebook,13905
live,13137
funny,12628
hindi,12352
nfollow,11543
twitter,10891
dial,10009
film,9765
singh,9590
trailer,9418
nsubscribe,8895
youtube,8662
app,8081
follow,7839
etv,7247
malayalam,7054
current,6899
nfacebook,6774
sharma,6675
kumar,6645
th,6638
show,6469
series,6465
nmusic,6311
download,6299
bollywood,6277
pawan,6276
nlike,5986
vijay,5965
nfor,5935
reddy,5887
sri,5806
sridevi,5721
kalyan,5620
ntwitter,5527
instagram,5419
online,5396
tollywood,4930
status,4888
whatsapp,4852
kapoor,4746
also,4680
rani,4367
