likes,pred_likes
57527,88578
97185,148348
146033,173611
10172,14927
132235,150674
9763,18012
15993,20224
23663,22219
3543,7653
12654,19072
655,4151
1576,8584
114188,162839
7848,8907
7473,8263
9419,46036
8011,9193
5398,11384
11963,19563
8421,8277
9586,16860
3585,4200
11758,16347
1707,1957
4884,8143
8676,14291
4687,8659
9033,12432
156,246
715,135376
4035,31797
119,39264
787419,834177
3781,9037
1661,3695
2486,2885
7515,16810
1318,2434
38397,43858
6927,13652
5389,444195
308,619
15186,16072
4451,5020
33505,46232
3417,16295
35,893
45406,51570
99086,101334
205,229
15397,24932
190083,253858
7250,8869
16116,11770
5734,6933
21,196
89,142
8209,16416
10237,11531
52,120
26917,28695
115795,122868
493,13804
8231,34811
115426,119895
120876,125826
203,39264
55681,55749
1634124,1610208
2233,4906
2978,7968
1550,238157
18603,34220
2429,2528
1896,55638
37669,44566
15504,12219
355,41976
23296,23090
8133,7946
2323,3320
67,4153
3571,6696
6271,87969
16430,19849
439,166556
34839,37114
82320,100103
438,554
72593,35332
2282,4938
98804,103517
58967,63377
8599,11698
40195,53154
16396,15557
202676,94309
14338,83332
43875,72687
22326,78460
1731,6406
3283,9714
286268,291576
307435,320546
3305,6912
10138,12216
3327,3288
5048,198806
53572,64558
7999,43897
88417,97352
25115,32816
14303,13611
7693,44796
25122,20203
4417,144092
5505,6923
15247,20849
11616,19764
9312,40820
9091,19516
84426,70843
935,836
11198,18316
2926,7679
19323,20646
1365,29993
32648,41685
7683,7927
3652,6501
4364,15472
11736,39495
1345,5951
1354,16291
2163,19089
443,2321
909,6008
4604,66605
35765,48464
7158,238934
1991,13604
5642,7865
9210,39264
15909,13708
242,105546
65854,243881
810895,588118
16106,16070
11985,12938
20159,66228
10175,26295
31892,42826
49,19055
4989,14225
3809,5923
5894,3849
1170,3283
2,59393
5075,12290
3959,102387
22,214
10844,20026
23338,97358
3454,20812
4250,8549
681,47502
40,4466
569,84101
23634,33594
47793,71531
420,3315
5748,10757
2707,9268
258,519
