,count,id,category,cat_percent
0,7787.0,24.0,Entertainment,38.76
1,640.0,23.0,Comedy,3.19
2,606.0,27.0,Education,3.02
3,2570.0,22.0,People & Blogs,12.79
4,695.0,1.0,Film & Animation,3.46
5,768.0,2.0,Autos & Vehicles,3.82
6,1553.0,17.0,Sports,7.73
7,1346.0,26.0,Howto & Style,6.7
8,980.0,20.0,Gaming,4.88
9,536.0,10.0,Music,2.67
10,1711.0,25.0,News & Politics,8.52
11,522.0,28.0,Science & Technology,2.6
12,131.0,15.0,Pets & Animals,0.65
13,91.0,19.0,Travel & Events,0.45
14,154.0,29.0,,0.77
15,1.0,44.0,Trailers,0.0
16,,43.0,Shows,
