views,pred_views
748374,2181205
2418783,5472582
3191434,4595986
343168,741466
2095731,2704881
119180,673382
2103417,2630201
817732,1136287
826059,1269363
256426,487714
81377,453718
104578,501186
687582,2011278
544770,861634
207532,275479
75752,2421749
295639,348845
78044,353461
97007,337716
223871,241458
115791,462858
224019,307358
144418,283099
145921,155398
33980,125311
223077,348716
80705,155166
120727,215336
27943,76729
50867,2929767
98378,1163976
26000,1350849
17158531,20848683
67661,336165
141148,605621
98966,126857
288922,493688
13917,63882
605932,759573
57169,328454
60506,5473630
34785,92944
328330,488835
321053,389269
1456472,1673660
69844,711550
4569,93950
2045386,2136902
1842393,2007654
6473,19115
1044813,1763209
9548677,16764041
197062,239224
1496225,1138966
162597,194970
9132,45576
7265,53868
291597,481950
290801,370628
5304,24527
812516,891798
2642930,4139503
105058,1915605
537715,1121836
2744430,2825171
3358068,3480528
4732,1350849
7224515,7309697
33523622,35415341
52591,2773903
75822,150846
43715,7241542
303956,361662
238643,264200
237307,2150952
1282413,1942557
1497519,421929
148226,667689
484185,497134
300617,301573
92523,108046
7524,473895
103927,128490
177707,2806058
1751064,1914847
46746,3412797
746092,945749
836830,1033371
67429,153641
2237404,552928
45455,74221
2063667,2296492
2736733,3096191
165698,248299
836544,1118227
284666,494847
3371669,1141765
195685,2553207
1098897,859984
893462,1068592
225286,450417
264793,1035269
5476737,6789809
3578502,3739947
304926,453585
247319,255534
296434,369373
125962,8195374
419341,467211
138988,416734
1774018,2341300
626688,869448
219030,288580
493662,929627
1017803,671416
139955,1652045
362009,447094
294387,327961
844653,1268601
1315873,1241830
188003,331262
1624771,2444891
125970,113290
205869,455407
98422,181985
426078,397200
33315,823275
1231518,1231088
154872,155317
72626,88219
366180,1095384
264511,482314
192609,290231
95944,411766
154494,805626
53321,113759
95085,281567
91776,1457287
764716,1865553
135337,2868672
77630,115485
378750,471156
151709,1350849
175852,986670
5149,2769215
1905487,13387423
9632678,7399690
476389,804160
754558,896361
762616,2793836
199429,511123
691229,2116043
6412,290079
108618,473092
79306,130913
812007,546482
55398,174128
773,964530
581288,808745
99619,5789539
4850,19970
226088,1515820
651036,1811968
451356,545174
46571,119421
28539,1128126
12609,221144
30021,1572137
471266,1191415
1073134,1114748
18573,71958
250193,316720
2457408,519819
51143,135894
27010,212032
122669,522469
358597,1410315
56012,2079237
6148,340109
1390440,2022835
244532,446053
82087,505930
359120,330830
33768,77204
38068,7353755
1277364,1094210
1498866,1434320
280065,281312
2259,56897
470191,508156
16305,256904
169511,275193
160477,300950
704363,572857
130778,1809999
560569,662894
462490,1461221
295217,790051
1525400,3461127
1836419,3239510
977285,2330775
390964,904924
1611093,1739852
983365,1533177
2765121,2005053
3701763,2421749
829132,1310866
391049,654426
137003,159098
891912,1296945
175539,328634
14565,320126
125645,2362140
2188590,2181205
394709,818973
863116,1142352
200235,508156
4632016,5472582
122426,240144
758998,673382
145100,167515
2671756,1269363
52743,120815
121681,302576
11404,57499
419965,697236
137749,441976
772235,741466
297147,353461
126438,320827
2285136,2011278
206319,242751
60564,168318
373457,462858
4326684,4595986
137860,1350849
4009,34080
3006,1073853
635985,487714
130893,125311
46954,70469
208155,328454
190669,687371
2509626,2704881
20778,35642
30438,24527
94694,180140
211683,501186
210393,5473630
63780,31245
18438,3485687
1099318,1136287
71661,270082
935879,1200215
131153,464089
84149,76729
34138,193069
144937,225971
306550,283099
328325,337716
2472569,2630201
341074,1163976
113963,441179
93322,205423
68084,63882
279092,275479
692631,861634
155285,711550
93829,171316
31639,104822
37524,93950
358358,348845
158173,155166
45200,227173
286577,241458
315177,307358
225044,155398
399491,503970
231104,215336
5813,11022
18317,46242
246134,196875
32483,45576
113462,336165
311621,605621
94229,1350849
571588,2702857
272604,348716
42336,58424
13750,1350849
6684,56939
102639,357345
20539417,20848683
238413,1915605
41029,50327
805124,759573
55140,53868
120817,126857
58469,2929767
360223,488835
1775997,1673660
6685,57308
200060,241595
346924,389269
12987863,16764041
1981757,2007654
3653,1283778
2255529,2259746
1155622,1763209
9892,19115
5626588,5570946
85643,1410315
212310,239224
180284,194970
301423,481950
835573,891798
3686343,4139503
297840,370628
2922523,2825171
595415,1121836
3643894,3480528
9833,473895
7563254,7309697
54341,3412797
357078,361662
1888789,1942557
168446,667689
263656,264200
515525,497134
39082222,35415341
1080230,1412336
873362,945749
366892,301573
48372,1410315
216766,2806058
81086,150846
3931,241226
1072970,1033371
56372,2773903
